year,state,month,number,date
1998,Acre,January,0,1998-01-01
1998,Acre,February,0,1998-02-01
1998,Acre,March,0,1998-03-01
1998,Acre,April,0,1998-04-01
1998,Acre,May,0,1998-05-01
1998,Acre,June,3,1998-06-01
1998,Acre,July,37,1998-07-01
1998,Acre,August,130,1998-08-01
1998,Acre,September,509,1998-09-01
1998,Acre,October,44,1998-10-01
1998,Acre,November,0,1998-11-01
1998,Acre,December,7,1998-12-01
1998,Alagoas,January,0,1998-01-01
1998,Alagoas,February,0,1998-02-01
1998,Alagoas,March,0,1998-03-01
1998,Alagoas,April,0,1998-04-01
1998,Alagoas,May,0,1998-05-01
1998,Alagoas,June,0,1998-06-01
1998,Alagoas,July,0,1998-07-01
1998,Alagoas,August,1,1998-08-01
1998,Alagoas,September,14,1998-09-01
1998,Alagoas,October,20,1998-10-01
1998,Alagoas,November,19,1998-11-01
1998,Alagoas,December,32,1998-12-01
1998,Amapa,January,0,1998-01-01
1998,Amapa,February,0,1998-02-01
1998,Amapa,March,0,1998-03-01
1998,Amapa,April,0,1998-04-01
1998,Amapa,May,0,1998-05-01
1998,Amapa,June,0,1998-06-01
1998,Amapa,July,0,1998-07-01
1998,Amapa,August,1,1998-08-01
1998,Amapa,September,20,1998-09-01
1998,Amapa,October,42,1998-10-01
1998,Amapa,November,131,1998-11-01
1998,Amapa,December,84,1998-12-01
1998,Amazonas,January,0,1998-01-01
1998,Amazonas,February,0,1998-02-01
1998,Amazonas,March,0,1998-03-01
1998,Amazonas,April,0,1998-04-01
1998,Amazonas,May,0,1998-05-01
1998,Amazonas,June,2,1998-06-01
1998,Amazonas,July,71,1998-07-01
1998,Amazonas,August,321,1998-08-01
1998,Amazonas,September,267,1998-09-01
1998,Amazonas,October,83,1998-10-01
1998,Amazonas,November,6,1998-11-01
1998,Amazonas,December,196,1998-12-01
1998,Bahia,January,0,1998-01-01
1998,Bahia,February,0,1998-02-01
1998,Bahia,March,0,1998-03-01
1998,Bahia,April,0,1998-04-01
1998,Bahia,May,0,1998-05-01
1998,Bahia,June,55,1998-06-01
1998,Bahia,July,219,1998-07-01
1998,Bahia,August,815,1998-08-01
1998,Bahia,September,2.718,1998-09-01
1998,Bahia,October,1.969,1998-10-01
1998,Bahia,November,49,1998-11-01
1998,Bahia,December,82,1998-12-01
1998,Ceara,January,0,1998-01-01
1998,Ceara,February,0,1998-02-01
1998,Ceara,March,0,1998-03-01
1998,Ceara,April,0,1998-04-01
1998,Ceara,May,0,1998-05-01
1998,Ceara,June,1,1998-06-01
1998,Ceara,July,76,1998-07-01
1998,Ceara,August,93,1998-08-01
1998,Ceara,September,590,1998-09-01
1998,Ceara,October,1.014,1998-10-01
1998,Ceara,November,575,1998-11-01
1998,Ceara,December,276,1998-12-01
1998,Distrito Federal,January,0,1998-01-01
1998,Distrito Federal,February,0,1998-02-01
1998,Distrito Federal,March,0,1998-03-01
1998,Distrito Federal,April,0,1998-04-01
1998,Distrito Federal,May,0,1998-05-01
1998,Distrito Federal,June,2,1998-06-01
1998,Distrito Federal,July,17,1998-07-01
1998,Distrito Federal,August,48,1998-08-01
1998,Distrito Federal,September,33,1998-09-01
1998,Distrito Federal,October,3,1998-10-01
1998,Distrito Federal,November,0,1998-11-01
1998,Distrito Federal,December,0,1998-12-01
1998,Espirito Santo,January,0,1998-01-01
1998,Espirito Santo,February,0,1998-02-01
1998,Espirito Santo,March,0,1998-03-01
1998,Espirito Santo,April,0,1998-04-01
1998,Espirito Santo,May,0,1998-05-01
1998,Espirito Santo,June,6,1998-06-01
1998,Espirito Santo,July,37,1998-07-01
1998,Espirito Santo,August,38,1998-08-01
1998,Espirito Santo,September,108,1998-09-01
1998,Espirito Santo,October,20,1998-10-01
1998,Espirito Santo,November,4,1998-11-01
1998,Espirito Santo,December,5,1998-12-01
1998,Goias,January,0,1998-01-01
1998,Goias,February,0,1998-02-01
1998,Goias,March,0,1998-03-01
1998,Goias,April,0,1998-04-01
1998,Goias,May,0,1998-05-01
1998,Goias,June,172,1998-06-01
1998,Goias,July,512,1998-07-01
1998,Goias,August,2.218,1998-08-01
1998,Goias,September,2.867,1998-09-01
1998,Goias,October,1.034,1998-10-01
1998,Goias,November,47,1998-11-01
1998,Goias,December,13,1998-12-01
1998,Maranhao,January,0,1998-01-01
1998,Maranhao,February,0,1998-02-01
1998,Maranhao,March,0,1998-03-01
1998,Maranhao,April,0,1998-04-01
1998,Maranhao,May,0,1998-05-01
1998,Maranhao,June,78,1998-06-01
1998,Maranhao,July,274,1998-07-01
1998,Maranhao,August,1.176,1998-08-01
1998,Maranhao,September,3.935,1998-09-01
1998,Maranhao,October,5.137,1998-10-01
1998,Maranhao,November,2.237,1998-11-01
1998,Maranhao,December,1.399,1998-12-01
1998,Mato Grosso,January,0,1998-01-01
1998,Mato Grosso,February,0,1998-02-01
1998,Mato Grosso,March,0,1998-03-01
1998,Mato Grosso,April,0,1998-04-01
1998,Mato Grosso,May,0,1998-05-01
1998,Mato Grosso,June,2.201,1998-06-01
1998,Mato Grosso,July,3.712,1998-07-01
1998,Mato Grosso,August,15.406,1998-08-01
1998,Mato Grosso,September,10.363,1998-09-01
1998,Mato Grosso,October,2.707,1998-10-01
1998,Mato Grosso,November,182,1998-11-01
1998,Mato Grosso,December,76,1998-12-01
1998,Mato Grosso,January,0,1998-01-01
1998,Mato Grosso,February,0,1998-02-01
1998,Mato Grosso,March,0,1998-03-01
1998,Mato Grosso,April,0,1998-04-01
1998,Mato Grosso,May,0,1998-05-01
1998,Mato Grosso,June,82,1998-06-01
1998,Mato Grosso,July,360,1998-07-01
1998,Mato Grosso,August,228,1998-08-01
1998,Mato Grosso,September,457,1998-09-01
1998,Mato Grosso,October,576,1998-10-01
1998,Mato Grosso,November,306,1998-11-01
1998,Mato Grosso,December,100,1998-12-01
1998,Minas Gerais,January,0,1998-01-01
1998,Minas Gerais,February,0,1998-02-01
1998,Minas Gerais,March,0,1998-03-01
1998,Minas Gerais,April,0,1998-04-01
1998,Minas Gerais,May,0,1998-05-01
1998,Minas Gerais,June,70,1998-06-01
1998,Minas Gerais,July,232,1998-07-01
1998,Minas Gerais,August,875,1998-08-01
1998,Minas Gerais,September,1.981,1998-09-01
1998,Minas Gerais,October,1.093,1998-10-01
1998,Minas Gerais,November,32,1998-11-01
1998,Minas Gerais,December,21,1998-12-01
1998,Pará,January,0,1998-01-01
1998,Pará,February,0,1998-02-01
1998,Pará,March,0,1998-03-01
1998,Pará,April,0,1998-04-01
1998,Pará,May,0,1998-05-01
1998,Pará,June,58,1998-06-01
1998,Pará,July,638,1998-07-01
1998,Pará,August,6.815,1998-08-01
1998,Pará,September,6.237,1998-09-01
1998,Pará,October,3.665,1998-10-01
1998,Pará,November,1.861,1998-11-01
1998,Pará,December,1.008,1998-12-01
1998,Paraiba,January,0,1998-01-01
1998,Paraiba,February,0,1998-02-01
1998,Paraiba,March,0,1998-03-01
1998,Paraiba,April,0,1998-04-01
1998,Paraiba,May,0,1998-05-01
1998,Paraiba,June,3,1998-06-01
1998,Paraiba,July,0,1998-07-01
1998,Paraiba,August,3,1998-08-01
1998,Paraiba,September,50,1998-09-01
1998,Paraiba,October,179,1998-10-01
1998,Paraiba,November,46,1998-11-01
1998,Paraiba,December,51,1998-12-01
1998,Paraiba,January,0,1998-01-01
1998,Paraiba,February,0,1998-02-01
1998,Paraiba,March,0,1998-03-01
1998,Paraiba,April,0,1998-04-01
1998,Paraiba,May,0,1998-05-01
1998,Paraiba,June,36,1998-06-01
1998,Paraiba,July,59,1998-07-01
1998,Paraiba,August,42,1998-08-01
1998,Paraiba,September,61,1998-09-01
1998,Paraiba,October,61,1998-10-01
1998,Paraiba,November,143,1998-11-01
1998,Paraiba,December,82,1998-12-01
1998,Pernambuco,January,0,1998-01-01
1998,Pernambuco,February,0,1998-02-01
1998,Pernambuco,March,0,1998-03-01
1998,Pernambuco,April,0,1998-04-01
1998,Pernambuco,May,0,1998-05-01
1998,Pernambuco,June,1,1998-06-01
1998,Pernambuco,July,5,1998-07-01
1998,Pernambuco,August,12,1998-08-01
1998,Pernambuco,September,177,1998-09-01
1998,Pernambuco,October,372,1998-10-01
1998,Pernambuco,November,141,1998-11-01
1998,Pernambuco,December,59,1998-12-01
1998,Piau,January,0,1998-01-01
1998,Piau,February,0,1998-02-01
1998,Piau,March,0,1998-03-01
1998,Piau,April,0,1998-04-01
1998,Piau,May,0,1998-05-01
1998,Piau,June,46,1998-06-01
1998,Piau,July,189,1998-07-01
1998,Piau,August,711,1998-08-01
1998,Piau,September,1.991,1998-09-01
1998,Piau,October,2.586,1998-10-01
1998,Piau,November,424,1998-11-01
1998,Piau,December,119,1998-12-01
1998,Rio,January,0,1998-01-01
1998,Rio,February,0,1998-02-01
1998,Rio,March,0,1998-03-01
1998,Rio,April,0,1998-04-01
1998,Rio,May,0,1998-05-01
1998,Rio,June,3,1998-06-01
1998,Rio,July,21,1998-07-01
1998,Rio,August,21,1998-08-01
1998,Rio,September,44,1998-09-01
1998,Rio,October,6,1998-10-01
1998,Rio,November,6,1998-11-01
1998,Rio,December,1,1998-12-01
1998,Rio,January,0,1998-01-01
1998,Rio,February,0,1998-02-01
1998,Rio,March,0,1998-03-01
1998,Rio,April,0,1998-04-01
1998,Rio,May,0,1998-05-01
